object_tag,num_obj,Pr,vflag,RA,DEC,PLATE,FIBERID,MJD,rabsmag_NSA,Z,SFR,sSFR,BPTclass,HImass,u_r,g_r,u_r_err,g_r_err
51146.0,25.0,0.7432243834508762,0,131.2314457962042,55.41678591849953,448,303,51900,-16.010465621948242,0.0977881774306297,0.6611539721488953,-9.989301681518556,3.0,,-0.9852943420410156,-3.255945205688477,3.143212582368824,2.9892327170811863
65139.0,20.0,0.3964386174023547,0,159.06701327986468,2.4656768767288724,505,497,52317,-15.610248565673828,0.094947874546051,-0.6177685856819153,-11.341733932495115,2.0,,1.9238357543945312,1.7096624374389648,8780.524314234299,10189.648307140456
66792.0,19.0,0.8537545530546753,0,173.2122788314335,1.602669476536163,513,261,51989,-16.77878761291504,0.0753208175301551,0.1746773719787597,-9.854775428771973,1.0,,0.4507465362548828,0.0108776092529296,1089418.5349248047,491188.4856501504
66886.0,23.0,0.8542690220973331,0,174.64087081020742,2.8737811681455123,513,586,51989,-13.152691841125488,0.0940611287951469,-0.7644807696342468,-11.315680503845217,-1.0,,0.3477249145507812,0.1155014038085937,34092.79780411512,57612.09516034462
68950.0,4.0,0.3826182522792004,0,186.53603405365217,3.560171941428357,519,567,52283,-16.915767669677734,0.0256740115582942,-0.9419665932655334,-9.697553634643556,1.0,,1.6086158752441406,0.4987850189208984,0.1710470566391883,0.2016916742757921
79105.0,10.0,0.7195494975610581,0,138.61973938246598,53.089035373799625,554,319,52000,-16.880001068115234,0.0247028656303882,-1.2825376987457275,-10.316621780395508,1.0,,1.9058599472045896,0.6053009033203125,0.1112960807161941,0.0316720341226848
88484.0,26.0,0.904754611940759,0,227.0580465835772,3.5135644655783844,589,26,52055,-13.86090087890625,0.090842567384243,-0.3376066982746124,-11.635659217834473,4.0,,-0.0866470336914062,-2.262521743774414,,37854.01312374777
132238.0,6.0,-0.132856547246975,0,143.7230767109015,52.73913650021806,768,276,52281,-16.90254020690918,0.0250607151538133,-0.7064073085784912,-9.263226509094238,1.0,,1.0805683135986328,0.3032360076904297,0.0764779339291145,0.1045587613835658
146249.0,4.0,-0.2528108880281159,0,144.11418094120543,47.40644539996956,834,500,52316,-16.379961013793945,0.0157465953379869,,,,,1.9549674987792969,0.3705272674560547,0.3677711266620781,0.0408408833136131
146278.0,20.0,0.2957263687751482,0,145.02526481347357,48.40919323758556,834,576,52316,-16.10379981994629,0.026178665459156,-0.6966664791107178,-9.937174797058104,1.0,,0.9504365921020508,-0.3433876037597656,0.4877491376660554,0.0919340366417964
158121.0,9.0,-0.503255869953081,0,170.20137647358493,51.55276300293633,878,597,52353,-16.8897762298584,0.0263495557010173,-1.1801204681396484,-10.256531715393066,1.0,,1.9662160873413088,0.626678466796875,0.125796962391973,0.0338158459926551
160601.0,22.0,0.1677651281658369,0,192.63479554108343,51.58262001329015,886,190,52381,-16.513376235961914,0.0110868262127041,-1.2554054260253906,-9.502697944641112,1.0,,1.1839942932128906,0.3025627136230469,0.0655524382226073,0.0337765547397075
161002.0,24.0,0.2999242681289082,0,195.3507504337701,52.77569409666224,887,339,52376,-16.987712860107422,0.0152954552322626,-1.063510537147522,-9.603747367858888,1.0,,1.293354034423828,0.4581661224365234,0.1590132937121724,0.0321258053306453
163552.0,8.0,0.2601540134055117,0,128.30237700555094,41.32324833311978,895,434,52581,-16.91459083557129,0.0241245720535516,-1.291242003440857,-10.191157341003418,1.0,,1.793513298034668,0.5599765777587891,0.1352427206918647,0.0318367813849327
164876.0,13.0,-0.51571334703119,0,142.01360159904473,48.52672137021981,900,552,52637,-16.88050079345703,0.0154057806357741,-0.9473549723625184,-9.312878608703612,1.0,,0.9192953109741212,0.2211380004882812,0.1086244044512348,0.0305711049714624
174492.0,21.0,0.5889605566608839,0,128.45637646340387,34.10557658957879,933,360,52642,-16.59007453918457,0.0619933903217315,-0.0340142287313938,-9.901917457580566,3.0,,0.6096687316894531,-0.8933563232421875,0.3850626217530796,0.1331049098036434
177192.0,15.0,-0.1021334005448383,0,154.36667857358543,46.68409888815919,944,412,52614,-16.930675506591797,0.0252173133194446,-1.180813908576965,-10.38042163848877,1.0,,1.942964553833008,0.6344070434570312,0.0846754492010987,0.0301011034227729
183307.0,7.0,-0.5241139246381943,0,163.59897169138057,47.48038925510803,963,150,52643,-16.751066207885742,0.0221066270023584,-1.932159662246704,-10.909417152404783,-1.0,,2.111546516418457,0.6036376953125,0.1272436540017603,0.0322111828073858
183670.0,23.0,-0.0933341132485729,0,165.4393142908643,47.6231025059728,964,249,52646,-16.863142013549805,0.0217217542231082,-0.9279778003692628,-10.110631942749023,-1.0,,1.8066978454589844,0.6147232055664062,0.1001420711363711,0.0355355297902994
195328.0,19.0,-0.4160711423778067,0,165.2509090987626,7.5993603996735715,1003,428,52641,-15.778779983520508,0.1053624898195266,-0.2079030722379684,-10.813871383666992,2.0,,-0.1985273361206054,-0.4073333740234375,,
197423.0,4.0,0.8209456598513042,0,166.2229906051322,52.37689056046519,1011,48,52652,-16.59779930114746,0.0217046551406383,-0.8600531816482544,-9.23550033569336,1.0,,1.1391725540161133,0.3574104309082031,0.0696835125807453,0.0323099528747861
200842.0,13.0,0.2558952168865989,0,185.92563294997308,56.11331620323761,1019,576,52707,-16.227676391601562,0.0160446558147668,-1.434821367263794,-9.965310096740724,1.0,,1.6291875839233398,0.4889059066772461,0.2281705716132428,0.0306198527660518
206303.0,5.0,0.3829961342072306,0,190.94373365318827,54.64610219311597,1038,236,52673,-16.172578811645508,0.0156073365360498,-1.0245341062545776,-9.014023780822754,1.0,,0.7373695373535156,0.2465839385986328,0.0589467307542427,0.0297675852337069
206386.0,19.0,-0.0413282730936235,0,190.76332443463173,54.86378299996248,1038,399,52673,-16.79571533203125,0.0158370546996593,-2.2261905670166016,-11.239872932434082,-1.0,,2.154496192932129,0.6916179656982422,0.1500853695128004,0.0336175850179247
206392.0,24.0,0.4079279383162916,0,191.27605464626453,55.90433255826988,1038,407,52673,-15.74977207183838,0.015362050384283,-0.834570586681366,-9.851103782653809,1.0,,-0.1361274719238281,-0.901240348815918,0.102182916142825,0.0731658424802656
210955.0,12.0,-0.0093064671419232,0,234.80213572555664,43.96166861769815,1052,604,52466,-16.703895568847656,0.0187830869108438,-1.937341809272766,-11.052364349365234,2.0,,1.8357009887695312,0.6485519409179688,0.1066043656548813,0.0333269079944593
229008.0,7.0,0.1056486950134328,0,133.17954191200084,38.72752087467056,1198,252,52669,-16.92323875427246,0.0134375160560011,-1.0348668098449707,-9.48924446105957,1.0,,1.018052101135254,0.2381420135498047,0.0703641635229924,0.0389309237845818
231085.0,14.0,0.7550451147053298,0,123.36919416204772,27.3262617265426,1206,177,52670,-16.864200592041016,0.0192397013306617,-0.8282049298286438,-9.540908813476562,1.0,,1.4029817581176758,0.4489250183105469,0.0783399011528178,0.0313800830231592
236594.0,19.0,0.2627245904960268,0,176.485215053902,9.73377581487259,1225,116,52760,-16.87581443786621,0.0210450366139411,-1.6405658721923828,-10.834054946899414,-1.0,,1.959676742553711,0.6561908721923828,0.1009142965269162,0.0329645247978538
236860.0,14.0,0.677847865081108,0,175.5871654507667,10.08599469180395,1225,492,52760,-16.963329315185547,0.0206012558192014,-1.5018292665481567,-10.489093780517578,1.0,,1.6953210830688477,0.5613594055175781,0.111921556000393,0.0334543693531496
237058.0,17.0,0.2636259166852323,0,176.51069209879068,9.75642172726045,1226,194,52734,-16.885522842407227,0.0217377562075853,-1.548567295074463,-10.676557540893556,2.0,,1.7842082977294922,0.6781005859375,0.102887556944125,0.0367174065269411
237176.0,10.0,-0.4405710329010613,0,176.57810343853657,10.972247122058564,1226,372,52734,-16.873388290405273,0.0188980661332607,-1.0564814805984497,-9.88188934326172,1.0,,1.6466093063354492,0.4761314392089844,0.1229726342620786,0.0330641463206197
238531.0,5.0,0.7449881051115382,0,185.1401321833736,9.465294469666656,1230,107,52672,-16.926895141601562,0.0251787006855011,-1.0560975074768066,-10.054122924804688,1.0,,1.6840534210205078,0.5302543640136719,0.15093041148664,0.0352154877613364
238891.0,8.0,-0.53884974932535,0,186.70820900943096,9.014814421891808,1231,89,52725,-16.951250076293945,0.0253484584391117,-1.992708325386048,-11.175814628601074,-1.0,,2.109927177429199,0.7477684020996094,0.2597722265667816,0.0488304644945359
238963.0,8.0,-0.3182681734263712,0,185.96661150998185,9.600876941629288,1231,193,52725,-16.844690322875977,0.0233461055904626,-0.9169327020645142,-9.762642860412598,1.0,,1.4130964279174805,0.5011959075927734,0.1080956714329276,0.0329394179682177
243649.0,11.0,0.0711198535258657,0,123.95451698410386,25.78374537723972,1266,127,52709,-16.99362564086914,0.0247628539800643,-1.2191951274871826,-10.436363220214844,3.0,,1.991304397583008,0.6629199981689453,0.1458955002064738,0.0325289076861861
246360.0,7.0,-0.640773873715728,0,146.81451149679208,37.051990723233736,1276,43,53035,-16.879785537719727,0.0223215632140636,-1.7147186994552612,-10.797772407531738,-1.0,,2.102579116821289,0.6069908142089844,0.1720230747053799,0.0327985363016161
249807.0,11.0,-0.0789237545928745,0,220.29702557389865,44.55932921844349,1289,435,52734,-15.958295822143556,0.0108110904693603,-1.6173138618469238,-10.108231544494627,1.0,,1.7247467041015625,0.4855222702026367,0.2302101696483356,0.056291985564486
256545.0,24.0,0.5363596059960581,0,185.42230165415967,56.82924654491245,1315,102,52791,-16.8474178314209,0.0158520080149173,-0.6677662134170532,-9.584400177001951,1.0,,1.3079833984375,0.4796295166015625,0.0624559978918368,0.0299450332353235
257791.0,10.0,0.2579507170483707,0,197.58811575712429,55.761459819549785,1319,202,52791,-16.79316520690918,0.0294905584305524,,,,,1.0633697509765625,0.3644123077392578,0.098223793218687,0.0334589923027547
262061.0,10.0,-0.6074813437046778,0,232.33714043005105,46.83650733050794,1332,362,52781,-16.56664276123047,0.0180739611387252,-1.1045783758163452,-9.725424766540527,1.0,,1.3619794845581057,0.469003677368164,0.0813574173567823,0.031116192971638
265636.0,16.0,-0.3118896138539103,0,204.30841911856825,44.09603444369399,1344,588,52792,-15.449421882629396,0.0087861847132444,-2.0017857551574707,-10.414612770080566,1.0,,2.0966033935546875,0.570530891418457,0.1665104187689143,0.030320382580933
265810.0,20.0,-0.1315007344370334,0,205.86244420069568,43.18850076629603,1345,431,52814,-16.034160614013672,0.0083706071600317,-1.426347255706787,-9.461888313293455,1.0,,1.1373157501220703,0.3236961364746094,0.0705206039969907,0.0322643890029279
266619.0,17.0,0.1632560141707041,0,214.6826588288669,40.3893596603312,1348,274,53084,-16.810245513916016,0.0192237570881843,-1.1762999296188354,-9.999451637268066,1.0,,1.4778509140014648,0.4783878326416015,0.0875432194097887,0.0347170632371825
266905.0,7.0,0.6123693469181407,0,217.39237460681164,40.93399909924626,1349,361,52797,-15.505955696105955,0.0088077746331691,-1.6950666904449463,-9.749502182006836,1.0,,1.5220718383789062,0.3813762664794922,0.2219847940715944,0.0306953797788426
266911.0,26.0,0.2525444235554518,0,217.39277685442443,40.8914038961516,1349,379,52797,-16.49652099609375,0.0090040359646081,-1.2867149114608765,-9.608163833618164,1.0,,1.0145931243896484,0.2820663452148437,0.0841620580776722,0.0332754873932335
266955.0,7.0,-0.4559344145812347,0,218.3500807719828,40.16904297264218,1349,493,52797,-16.94442367553711,0.0113266864791512,-1.108270525932312,-9.554038047790527,2.0,,0.9518985748291016,0.3187980651855469,0.0912781819811377,0.0583829242000228
267176.0,25.0,0.3360983982661321,0,223.0150511765196,38.87523078089264,1350,630,52786,-16.896114349365234,0.0141266528517007,-0.9519853591918944,-9.822623252868652,1.0,,1.4767475128173828,0.4705657958984375,0.087617231207984,0.0290876350796205
267344.0,25.0,0.154095939553294,0,223.07657786234824,38.53914334401533,1351,386,52790,-16.201147079467773,0.0139398220926523,-0.681367814540863,-8.861200332641602,1.0,,0.8776979446411133,0.2649507522583008,0.058783900945403,0.0289347038068458
269368.0,6.0,0.2880254889380707,0,154.73734231807265,42.17639142278615,1358,208,52994,-16.784442901611328,0.0229539442807436,-1.1742805242538452,-9.847553253173828,1.0,,1.4522075653076172,0.4316520690917969,0.0629755478634542,0.0287371734233008
271018.0,4.0,-0.0607562102722696,0,166.4632565419197,42.969241010103765,1363,157,53053,-16.93638801574707,0.02147495187819,-0.646302342414856,-8.999163627624512,1.0,,0.7960243225097656,0.2355403900146484,0.058805435773761,0.0285717978190938
273099.0,4.0,0.3406529640095934,0,179.36176773686122,45.96963285086512,1369,346,53089,-16.989774703979492,0.0238868314772844,-0.5876692533493042,-8.98037338256836,1.0,,0.8214149475097656,0.2517070770263672,0.0939314220057131,0.0418019835751528
273399.0,18.0,-0.3654300899351744,0,182.6358157214375,44.60126426486135,1370,247,53090,-16.794410705566406,0.0231783837080001,-0.4460935890674591,-8.667400360107422,1.0,,0.974050521850586,0.215240478515625,0.0832426917907886,0.0499169732236903
275310.0,22.0,0.1262889202056403,0,199.17150355688509,43.00677886492165,1376,285,53089,-16.860244750976562,0.0113772554323077,-2.070988416671753,-10.990181922912598,1.0,,0.7595996856689453,0.2378807067871093,0.093338744941913,0.0277938529932757
275510.0,23.0,0.5481524685129706,0,207.43968022314465,39.71415975374165,1377,5,53050,-16.747974395751953,0.0090301670134067,-1.8371621370315552,-10.915624618530272,1.0,,2.086787223815918,0.6235809326171875,0.0927611021395295,0.0307406527689484
275523.0,22.0,-0.0728794874569176,0,207.7655876307925,40.43072547128965,1377,38,53050,-15.82404899597168,0.0085963197052478,-1.3095924854278564,-9.61298942565918,1.0,,1.2787981033325195,0.4262371063232422,0.0649580472921765,0.0314035709736243
275537.0,19.0,0.131234976331219,0,207.4079930275565,40.06323679803476,1377,66,53050,-16.74099349975586,0.0084868585690855,-1.4760000705718994,-10.317219734191896,1.0,,1.748727798461914,0.5408191680908203,0.06194702666172,0.0274425667887158
275538.0,6.0,0.1047689449733138,0,207.67817133969297,40.03570108002335,1377,67,53050,-15.69431495666504,0.0073751928284764,-1.5547752380371094,-9.717656135559082,1.0,,1.2886466979980469,0.3872079849243164,0.086537454504618,0.0378812724799562
275550.0,20.0,0.3763382981397196,0,206.61570755667245,39.67834273738289,1377,90,53050,-16.891651153564453,0.0110007897019386,-0.8794117569923401,-9.339649200439451,1.0,,1.1003484725952148,0.3161373138427734,0.0586559441909964,0.0277166903665431
275612.0,7.0,0.7567300149764155,0,205.1804529856208,39.55291961864813,1377,288,53050,-16.059785842895508,0.0111321024596691,-1.597326159477234,-10.042856216430664,1.0,,1.5232038497924805,0.5042514801025391,0.122244469293823,0.0304924801713324
275647.0,19.0,-0.0793182635431806,0,206.0620449981137,41.677389149532296,1377,407,53050,-15.884648323059082,0.0086959516629576,-1.8908131122589111,-10.388792991638184,1.0,,1.6247034072875977,0.5638818740844727,0.1146192383244051,0.048454374127849
275668.0,5.0,0.1911967059361106,0,206.19063811537487,41.55671061402486,1377,445,53050,-15.62370777130127,0.0089453291147947,-2.020132064819336,-10.442758560180664,1.0,,1.3764991760253906,0.5131540298461914,0.0994715704566652,0.0317854213616827
275705.0,5.0,-0.8617438050656114,0,206.71927024057544,41.30374909784362,1377,538,53050,-16.19853973388672,0.008182156831026,-2.0079269409179688,-10.4009428024292,2.0,,0.8981361389160156,0.3854265213012695,0.0823360092282328,0.0312528054016756
275856.0,21.0,-0.3889040375840248,0,208.24316088490875,39.71906767203158,1378,187,53061,-16.776609420776367,0.0088080186396837,-0.9774153828620912,-9.544309616088867,1.0,,1.0704469680786133,0.2987270355224609,0.0824650575581713,0.0287714452565509
275878.0,22.0,0.7255493026324216,0,208.1036930409957,39.55761359959129,1378,225,53061,-16.990774154663086,0.0091735869646072,-1.0227205753326416,-10.182136535644531,1.0,,1.956936836242676,0.6299114227294922,0.0778299936589584,0.0287255777733532
275899.0,13.0,0.1227046076563059,0,207.77166591065185,39.36906456707833,1378,265,53061,-16.031494140625,0.0087323309853672,-2.141211986541748,-10.767045021057127,2.0,,2.058690071105957,0.5897960662841797,0.249331325955544,0.0299131265445265
275949.0,16.0,-0.2328803406477952,0,208.4185908105825,41.25215649783597,1378,372,53061,-15.73699188232422,0.0093709668144583,-1.8081179857254028,-10.366350173950195,1.0,,1.796433448791504,0.5676050186157227,0.1343195408390272,0.0307637080855967
275955.0,22.0,0.5332832432631139,0,208.53163851493585,40.81701287203076,1378,380,53061,-16.78936767578125,0.0089678764343261,-1.7008850574493408,-10.785566329956056,-1.0,,1.9647445678710933,0.6063346862792969,0.0795614784089779,0.0368092967646199
276042.0,19.0,0.1788100062621485,0,209.7317194644252,40.09534075442998,1378,550,53061,-15.994356155395508,0.0118096843361854,-1.4010350704193115,-9.771167755126951,1.0,,1.3003692626953125,0.3663301467895508,0.0889115300648337,0.0296870639936911
276810.0,4.0,0.7518358404882977,0,216.5950952810872,37.97243347172597,1381,479,53089,-16.401273727416992,0.0159983616322278,-1.0842856168746948,-9.493800163269045,1.0,,1.0482215881347656,0.3048648834228515,0.0636558480676564,0.0322614308363221
276946.0,20.0,0.312508420257735,0,219.50209552246235,36.023156954824934,1382,207,53115,-16.888019561767578,0.01317919511348,-1.144985556602478,-10.036362648010254,1.0,8.61,1.469527244567871,0.4664287567138672,0.0950597538903694,0.0338495205729647
276952.0,23.0,-0.0641979623908201,0,218.99878689046523,36.58309676115938,1382,229,53115,-16.77885627746582,0.0141448639333248,-2.193877458572388,-11.22715187072754,-1.0,,2.234657287597656,0.6794624328613281,0.2133469381229807,0.0330105991696161
276961.0,21.0,-0.0811318064446361,0,218.9166574639585,36.26207095695879,1382,257,53115,-16.73780059814453,0.0154818203300237,-1.2894904613494873,-9.950353622436523,1.0,,1.4782581329345703,0.4731311798095703,0.1077253312166377,0.0312599683760668
278866.0,21.0,0.3773732287929688,0,231.29066642894887,33.23137073888269,1387,536,53118,-12.480789184570312,0.0826346799731254,0.4863971471786499,-10.189093589782717,2.0,,-5.595310211181641,-6.7353057861328125,3.91889934844238,3.8714672828679455
281702.0,10.0,0.1371899492861416,0,216.4079115013919,41.46801943673295,1395,202,52825,-16.909107208251953,0.0258546005934476,-0.7407702207565308,-9.646292686462402,1.0,,1.232622146606445,0.4463329315185547,0.1864415371203595,0.0307163815177829
281993.0,11.0,-0.4166326805520192,0,219.1360806985176,41.4214354759583,1396,215,53112,-16.782854080200195,0.0185015983879566,-1.0104202032089231,-9.861478805541992,1.0,,1.41070556640625,0.4873294830322265,0.0863076246284032,0.0303881706412562
289932.0,15.0,0.1293067440171141,0,153.45988938324848,38.71549296502321,1427,393,52996,-16.957109451293945,0.0224846713244915,-2.06560492515564,-11.270339012145996,-1.0,,2.165234565734864,0.7401676177978516,0.121080130120252,0.0323513165449874
291277.0,10.0,-0.6461603865663004,0,160.8626911720716,43.96048574201207,1431,9,52992,-16.940279006958008,0.0246260184794664,-1.929801344871521,-11.277166366577148,2.0,,2.140366554260254,0.7247104644775391,0.4420047755763724,0.0437553135039913
293513.0,21.0,-0.0527893480066302,0,165.702585396928,46.1492695776748,1436,545,53054,-16.67540168762207,0.0216909814625978,-1.2355018854141235,-9.934221267700195,1.0,,1.63653564453125,0.5861721038818359,0.2184012499976388,0.1129172088446781
293540.0,6.0,-0.3528711365769983,0,166.6344131020387,46.03714474489647,1436,585,53054,-16.926225662231445,0.0247592143714427,-1.086703538894653,-9.814916610717772,1.0,,1.1315412521362305,0.4136962890625,0.2048096037075107,0.1042715729498563
293571.0,11.0,0.2601520713784322,0,166.77681571961153,46.268725455909056,1436,629,53054,-16.958709716796875,0.0251604337245225,-1.330397605895996,-10.36212158203125,1.0,,1.8914909362792969,0.5889568328857422,0.2198702800951455,0.0478122585445158
297260.0,13.0,-0.203704475050943,0,182.78159789465943,42.07097236746002,1448,23,53120,-16.992713928222656,0.0227785184979438,-0.955612063407898,-9.379827499389648,1.0,,1.505575180053711,0.4434585571289062,0.1097535884216573,0.0314029905066934
299472.0,4.0,0.3203750550379468,0,192.36610402419743,47.28137646107732,1455,77,53089,-16.996957778930664,0.0241209231317043,-0.935068666934967,-9.759151458740234,1.0,,1.424941062927246,0.4411506652832031,0.075018004825481,0.0309841488046833
300374.0,18.0,0.4500510552147083,0,195.2901291443087,41.17029754329344,1458,192,53119,-16.230712890625,0.0107089160010218,-1.4762195348739624,-10.02335262298584,1.0,,1.4227981567382812,0.3507165908813476,0.1428085757992839,0.0320332035439298
301833.0,21.0,0.3114373931653318,0,202.20367323351329,45.72970318075527,1463,198,53063,-16.7366943359375,0.0085291611030697,-1.2434659004211426,-9.80300521850586,1.0,,1.3232221603393557,0.3871402740478515,0.124892765602537,0.0347283625359373
301865.0,13.0,-0.1154859636583499,0,201.442944479963,45.53998663019206,1463,261,53063,-15.646760940551758,0.0088070537894964,-1.4445682764053345,-9.69119930267334,1.0,,1.433013916015625,0.4199466705322265,0.1015442037054831,0.0306878334553879
301999.0,22.0,-0.4986906787661537,0,203.7149579247118,46.544483327625336,1463,591,53063,-16.020021438598633,0.0089598353952169,-1.3970283269882202,-9.86122226715088,1.0,,1.6466989517211914,0.4828424453735351,0.0682486434047998,0.0303784723302034
317808.0,4.0,0.9591675963996866,0,137.72128727138755,31.42935526265145,1591,94,52976,-16.826427459716797,0.0222921818494796,-0.9718748927116394,-9.453007698059082,1.0,,1.197675704956055,0.3202667236328125,0.0628086585177682,0.0296818592394679
318172.0,5.0,0.2051477799587123,0,139.98850591119117,33.67987697112885,1592,455,52990,-16.56178092956543,0.0225998423993587,-2.493525266647339,-11.68055534362793,-1.0,,2.3237600326538086,0.80615234375,0.7285073097819355,0.0318676014353226
