object_tag,num_obj,Pr,vflag,RA,DEC,PLATE,FIBERID,MJD,rabsmag_NSA,Z,SFR,sSFR,BPTclass,HImass,u_r,g_r,u_r_err,g_r_err
3316.0,14.0,0.6228970699192543,1,160.68680689678575,0.1491709879276762,274,558,51913,-16.790483474731445,0.0149448188021779,-1.1448410749435425,-9.695967674255373,1.0,,1.4190759658813477,0.4512367248535156,0.0878449601895577,0.031541991546446
3427.0,11.0,0.9384811272767556,1,162.19931863961392,-0.3460840385483633,275,107,51910,-16.94388771057129,0.016208553686738,-0.7638765573501587,-9.060199737548828,1.0,,1.057844161987305,0.2407302856445312,0.0607927758191868,0.0289969851478432
6193.0,6.0,0.8028374522222412,1,173.6021604461204,1.15428434314898,282,451,51658,-16.4028263092041,0.0171500872820615,-1.0232383012771606,-9.64706325531006,1.0,,1.6101226806640625,0.4689693450927734,0.101073056024281,0.0308142129374279
8167.0,8.0,0.3585240516475651,1,184.96544511613723,0.8100608104060897,288,455,52000,-16.805675506591797,0.0337517894804477,,,,,1.4989137649536133,0.3750457763671875,0.1719961972478113,0.0477342070701957
13967.0,24.0,0.4994401303819825,1,217.7229619213868,0.4628394988070778,305,604,51613,-16.850921630859375,0.0134112276136875,-0.3351413607597351,-8.228703498840332,1.0,8.84,0.8258209228515625,0.1201362609863281,0.0550339574433181,0.029459202725171
47266.0,9.0,0.5664036036508302,1,120.95853288471724,41.712590627175125,437,6,51876,-16.661279678344727,0.0207650028169155,-1.2118990421295166,-9.92013168334961,1.0,,1.3208398818969729,0.4818935394287109,0.2658667331329238,0.0334923859884688
47768.0,15.0,0.2818047650161348,1,121.3368116652451,47.2857713192181,438,492,51884,-12.186119079589844,0.0496761016547679,-0.7741571664810181,-10.874296188354492,1.0,,-3.185864448547364,-2.377373695373535,5.798026604028921,5.454871350650674
48471.0,10.0,0.8458137453397491,1,125.28331472131865,45.69901328857296,441,63,51868,-15.178067207336426,0.0072585460729897,-1.7193509340286257,-9.438860893249512,1.0,,1.1356420516967771,0.3123121261596679,0.0636302378239993,0.033229038099658
48482.0,19.0,0.5923728889969506,1,125.5658102353246,46.69167189130726,441,81,51868,-15.706974983215332,0.0072705596685409,-1.595012664794922,-9.911252975463867,1.0,,1.2652740478515625,0.4176139831542969,0.0645641881313568,0.0295395163370975
48552.0,21.0,0.7333782964682474,1,123.32155432774006,46.37237450532725,441,242,51868,-16.690950393676758,0.0075620631687343,-1.4395480155944824,-10.063069343566896,1.0,,1.4167327880859375,0.4629287719726562,0.0963647894542481,0.0396450176152783
48878.0,24.0,0.2387288479109144,1,125.87931099351644,50.51413529936552,442,165,51882,-16.87106704711914,0.0242977757006883,,,,,1.1451330184936523,0.3957195281982422,0.1477824540083858,0.0525480311735228
48962.0,7.0,0.5456989738358393,1,123.6124172208721,50.57689940309263,442,314,51882,-16.213315963745117,0.0078321313485503,-2.344690084457397,-10.477380752563477,1.0,,0.9121427536010742,0.3103046417236328,0.1395747430286258,0.0317637110042812
49179.0,4.0,0.9576964803537577,1,127.38844673948265,48.79452972687971,443,88,51873,-16.944883346557617,0.0234630648046731,-1.0743589401245115,-9.882243156433104,1.0,,1.4902496337890625,0.4395904541015625,0.0849595823984362,0.0317749817761595
49644.0,18.0,0.6123138121638814,1,128.06205509461125,51.76054037208528,444,252,51883,-16.988309860229492,0.0181477461010217,-1.0507287979125977,-9.83726692199707,1.0,,1.450237274169922,0.3971138000488281,0.095913145661719,0.032496717262125
49868.0,6.0,0.6870910064074718,1,131.30342169404858,50.22018934790814,445,26,51873,-16.04033088684082,0.010722610168159,-1.5785472393035889,-10.01524829864502,2.0,,1.258213996887207,0.4462642669677734,0.2136110894361811,0.0531767153503999
49982.0,24.0,0.8068836633596534,1,128.584097768728,50.45250409361379,445,278,51873,-16.425304412841797,0.0114516261965036,-1.3257575035095217,-10.01541519165039,1.0,,1.4578590393066406,0.4817457199096679,0.0604117289679685,0.0298586862338451
51623.0,8.0,0.0514647114311097,1,134.2856822561012,53.81676263177163,449,496,51900,-15.738889694213867,0.0077648446895182,-2.4932608604431152,-10.31586456298828,2.0,,1.5429391860961914,0.6784257888793945,0.3397915720296956,0.1179606142445372
52200.0,22.0,0.8619074700963922,1,140.00881516022784,56.356569185183226,451,182,51908,-16.614154815673828,0.0125017445534467,-1.2744578123092651,-9.633912086486816,1.0,,1.2697019577026367,0.3889274597167969,0.0735665832888566,0.0308862803282617
52457.0,15.0,0.0479901761218233,1,143.00589047901465,57.554311751326296,452,191,51911,-16.998647689819336,0.0107166962698102,-1.0125668048858645,-9.538426399230955,1.0,,0.9676113128662108,0.2645988464355469,0.0671596798632154,0.0312226148939383
56541.0,11.0,0.924206873364792,1,134.4549378457041,1.3229598695354856,468,582,51912,-16.7827205657959,0.0246057659387588,-0.7856686115264893,-9.088690757751465,-1.0,,1.1652898788452148,0.3793258666992187,0.0922870388983582,0.0365272430744976
57969.0,4.0,-0.9601558599507554,1,142.09106725902623,1.7488597616061432,475,499,51965,-16.51956558227539,0.0233999229967594,-1.138648509979248,-9.62279224395752,1.0,,1.2836580276489258,0.3997821807861328,0.1177058744750282,0.0409872146212883
59193.0,6.0,0.9623906963461016,1,137.28606635703386,56.9228578742231,484,205,51907,-16.8719539642334,0.0311108361929655,,,,,0.8088588714599609,0.243194580078125,0.0930399943078498,0.0376616449356603
60234.0,17.0,-0.0133355417887679,1,155.45484781464546,63.86846846151728,488,111,51914,-16.839683532714844,0.0210861209779977,,,,,1.8951749801635744,0.6307258605957031,0.126559171386341,0.0322304875028235
