object_tag,num_obj,Pr
75.0,24.0,0.9332966822564522
95.0,24.0,0.9488017023957229
121.0,23.0,0.9873291119486202
127.0,22.0,0.9984106750049728
128.0,22.0,0.9005665697434988
171.0,20.0,0.5349753241501073
196.0,23.0,0.6306235793399856
206.0,15.0,0.0349375230921745
208.0,25.0,-0.39899173288332607
210.0,24.0,0.8770239607902047
216.0,27.0,0.9880767795786393
224.0,25.0,0.9890462487044085
229.0,11.0,-0.045825343804047076
233.0,22.0,0.5816726387954956
326.0,22.0,0.07320933952887038
345.0,22.0,-0.12976709384902044
348.0,23.0,0.13369984571350557
351.0,24.0,0.9949945619560672
412.0,24.0,0.7266486611992846
442.0,23.0,-0.2382601304633379
450.0,25.0,0.99952302861791
467.0,12.0,0.5172285706097933
468.0,22.0,0.8123889265837789
509.0,25.0,-0.15019549463089873
568.0,21.0,0.6956647447316072
569.0,15.0,0.08735803357665402
578.0,20.0,0.16563055968519821
584.0,23.0,0.9320798682882954
588.0,20.0,0.6960069272055905
589.0,19.0,0.24730100505041502
590.0,6.0,0.7073457668054313
607.0,20.0,-0.08371576599719967
629.0,22.0,0.9366830138908396
634.0,22.0,0.6622501337708806
637.0,25.0,0.9193764921536776
640.0,26.0,0.5064468549714887
649.0,25.0,0.8012073831919307
650.0,12.0,0.8881877642850768
651.0,23.0,0.6258436746074922
652.0,28.0,0.9963625955261173
655.0,23.0,0.24211910115454077
661.0,27.0,0.9992980663801705
665.0,24.0,0.9929010925081415
678.0,25.0,0.9934865304105797
681.0,14.0,0.7553010092828085
691.0,24.0,0.9427140065897368
695.0,20.0,0.0960164508323073
729.0,6.0,-0.4345391247708179
738.0,18.0,0.42331702420613765
753.0,24.0,0.9980060005247283
817.0,22.0,0.9960906741802603
828.0,23.0,0.9933092495000315
835.0,20.0,0.41256035621117126
854.0,22.0,0.9498698738850712
855.0,23.0,0.23204507928596235
857.0,23.0,0.9636152783776578
859.0,24.0,0.5669299279340453
864.0,24.0,0.9032930531285224
865.0,22.0,0.6350544044239339
889.0,26.0,0.8800215236037847
890.0,13.0,0.7701302159718864
919.0,4.0,-0.08641368015110384
961.0,19.0,0.08799166085855901
975.0,22.0,0.5332504676109012
979.0,23.0,0.704418844072201
985.0,23.0,0.9673266257660147
1003.0,22.0,0.28789219601824795
1008.0,8.0,0.7509227234406155
1010.0,23.0,0.2561655667893461
1015.0,21.0,0.6005778547980528
1027.0,24.0,0.87405103335401
1032.0,23.0,0.7605677011330172
1056.0,16.0,0.8621790871459162
1073.0,24.0,0.9918063337871155
1077.0,23.0,0.9991996104302578
1078.0,23.0,0.9944936698601499
1084.0,21.0,0.9486680105933291
1086.0,23.0,0.9791623742006689
