z,d_M,d_L
0.3248,1249.248,1655.003
0.32481,1249.283,1655.062
0.32482,1249.318,1655.121
0.32483,1249.353,1655.181
0.32484,1249.388,1655.24
0.32485,1249.424,1655.299
0.32486,1249.459,1655.358
0.32487,1249.494,1655.417
0.32488,1249.529,1655.476
0.32489,1249.565,1655.536
0.3249,1249.6,1655.595
0.32491,1249.635,1655.654
0.32492,1249.67,1655.713
0.32493,1249.705,1655.772
0.32494,1249.741,1655.831
0.32495,1249.776,1655.891
0.32496,1249.811,1655.95
0.32497,1249.846,1656.009
0.32498,1249.882,1656.068
0.32499,1249.917,1656.127
0.325,1249.952,1656.186
0.32501,1249.987,1656.245
0.32502,1250.022,1656.305
0.32503,1250.058,1656.364
0.32504,1250.093,1656.423
0.32505,1250.128,1656.482
0.32506,1250.163,1656.541
0.32507,1250.198,1656.6
0.32508,1250.234,1656.66
0.32509,1250.269,1656.719
0.3251,1250.304,1656.778
0.32511,1250.339,1656.837
0.32512,1250.375,1656.896
0.32513,1250.41,1656.956
0.32514,1250.445,1657.015
0.32515,1250.48,1657.074
0.32516,1250.515,1657.133
0.32517,1250.551,1657.192
0.32518,1250.586,1657.251
0.32519,1250.621,1657.311
0.3252,1250.656,1657.37
0.32521,1250.692,1657.429
0.32522,1250.727,1657.488
0.32523,1250.762,1657.547
0.32524,1250.797,1657.606
0.32525,1250.832,1657.666
0.32526,1250.868,1657.725
0.32527,1250.903,1657.784
0.32528,1250.938,1657.843
0.32529,1250.973,1657.902
0.3253,1251.008,1657.961
0.32531,1251.044,1658.021
0.32532,1251.079,1658.08
0.32533,1251.114,1658.139
0.32534,1251.149,1658.198
0.32535,1251.184,1658.257
0.32536,1251.22,1658.317
0.32537,1251.255,1658.376
0.32538,1251.29,1658.435
0.32539,1251.325,1658.494
0.3254,1251.36,1658.553
0.32541,1251.396,1658.612
0.32542,1251.431,1658.672
0.32543,1251.466,1658.731
0.32544,1251.501,1658.79
0.32545,1251.537,1658.849
0.32546,1251.572,1658.908
0.32547,1251.607,1658.968
0.32548,1251.642,1659.027
0.32549,1251.677,1659.086
0.3255,1251.713,1659.145
0.32551,1251.748,1659.204
0.32552,1251.783,1659.263
0.32553,1251.818,1659.323
0.32554,1251.854,1659.382
0.32555,1251.889,1659.441
0.32556,1251.924,1659.5
0.32557,1251.959,1659.559
0.32558,1251.994,1659.619
0.32559,1252.03,1659.678
0.3256,1252.065,1659.737
0.32561,1252.1,1659.796
0.32562,1252.135,1659.855
0.32563,1252.17,1659.915
0.32564,1252.206,1659.974
0.32565,1252.241,1660.033
0.32566,1252.276,1660.092
0.32567,1252.311,1660.151
0.32568,1252.346,1660.21
0.32569,1252.382,1660.27
0.3257,1252.417,1660.329
0.32571,1252.452,1660.388
0.32572,1252.487,1660.447
0.32573,1252.522,1660.506
0.32574,1252.558,1660.566
0.32575,1252.593,1660.625
0.32576,1252.628,1660.684
0.32577,1252.663,1660.743
0.32578,1252.698,1660.802
0.32579,1252.734,1660.862
0.3258,1252.769,1660.921
0.32581,1252.804,1660.98
0.32582,1252.839,1661.039
0.32583,1252.874,1661.098
0.32584,1252.91,1661.158
0.32585,1252.945,1661.217
0.32586,1252.98,1661.276
0.32587,1253.015,1661.335
0.32588,1253.05,1661.394
0.32589,1253.086,1661.454
0.3259,1253.121,1661.513
0.32591,1253.156,1661.572
0.32592,1253.191,1661.631
0.32593,1253.226,1661.69
0.32594,1253.262,1661.75
0.32595,1253.297,1661.809
0.32596,1253.332,1661.868
0.32597,1253.367,1661.927
0.32598,1253.402,1661.986
0.32599,1253.438,1662.046
0.326,1253.473,1662.105
0.32601,1253.508,1662.164
0.32602,1253.543,1662.223
0.32603,1253.578,1662.282
0.32604,1253.614,1662.342
0.32605,1253.649,1662.401
0.32606,1253.684,1662.46
0.32607,1253.719,1662.519
0.32608,1253.754,1662.579
0.32609,1253.79,1662.638
0.3261,1253.825,1662.697
0.32611,1253.86,1662.756
0.32612,1253.895,1662.815
0.32613,1253.93,1662.875
0.32614,1253.966,1662.934
0.32615,1254.001,1662.993
0.32616,1254.036,1663.052
0.32617,1254.071,1663.111
0.32618,1254.106,1663.171
0.32619,1254.141,1663.23
0.3262,1254.177,1663.289
0.32621,1254.212,1663.348
0.32622,1254.247,1663.408
0.32623,1254.282,1663.467
0.32624,1254.318,1663.526
0.32625,1254.353,1663.585
0.32626,1254.388,1663.644
0.32627,1254.423,1663.704
0.32628,1254.458,1663.763
0.32629,1254.493,1663.822
0.3263,1254.529,1663.881
0.32631,1254.564,1663.941
0.32632,1254.599,1664
0.32633,1254.634,1664.059
0.32634,1254.669,1664.118
0.32635,1254.705,1664.177
0.32636,1254.74,1664.237
0.32637,1254.775,1664.296
0.32638,1254.81,1664.355
0.32639,1254.845,1664.414
0.3264,1254.88,1664.474
0.32641,1254.916,1664.533
0.32642,1254.951,1664.592
0.32643,1254.986,1664.651
0.32644,1255.021,1664.71
0.32645,1255.057,1664.77
0.32646,1255.092,1664.829
0.32647,1255.127,1664.888
0.32648,1255.162,1664.947
0.32649,1255.197,1665.007
0.3265,1255.232,1665.066
0.32651,1255.268,1665.125
0.32652,1255.303,1665.184
0.32653,1255.338,1665.244
0.32654,1255.373,1665.303
0.32655,1255.408,1665.362
0.32656,1255.444,1665.421
0.32657,1255.479,1665.48
0.32658,1255.514,1665.54
0.32659,1255.549,1665.599
0.3266,1255.584,1665.658
0.32661,1255.62,1665.717
0.32662,1255.655,1665.777
0.32663,1255.69,1665.836
0.32664,1255.725,1665.895
0.32665,1255.76,1665.954
0.32666,1255.795,1666.014
0.32667,1255.831,1666.073
0.32668,1255.866,1666.132
0.32669,1255.901,1666.191
0.3267,1255.936,1666.25
0.32671,1255.971,1666.31
0.32672,1256.006,1666.369
0.32673,1256.042,1666.428
0.32674,1256.077,1666.487
0.32675,1256.112,1666.547
0.32676,1256.147,1666.606
0.32677,1256.182,1666.665
0.32678,1256.218,1666.724
0.32679,1256.253,1666.784
0.3268,1256.288,1666.843
0.32681,1256.323,1666.902
0.32682,1256.358,1666.961
0.32683,1256.394,1667.021
0.32684,1256.429,1667.08
0.32685,1256.464,1667.139
0.32686,1256.499,1667.198
0.32687,1256.534,1667.258
0.32688,1256.569,1667.317
0.32689,1256.605,1667.376
0.3269,1256.64,1667.435
0.32691,1256.675,1667.495
0.32692,1256.71,1667.554
0.32693,1256.745,1667.613
0.32694,1256.781,1667.672
0.32695,1256.816,1667.732
0.32696,1256.851,1667.791
0.32697,1256.886,1667.85
0.32698,1256.921,1667.909
0.32699,1256.956,1667.969
0.327,1256.992,1668.028
0.32701,1257.027,1668.087
0.32702,1257.062,1668.146
0.32703,1257.097,1668.206
0.32704,1257.132,1668.265
0.32705,1257.167,1668.324
0.32706,1257.203,1668.383
0.32707,1257.238,1668.443
0.32708,1257.273,1668.502
0.32709,1257.308,1668.561
0.3271,1257.343,1668.62
0.32711,1257.379,1668.68
0.32712,1257.414,1668.739
0.32713,1257.449,1668.798
0.32714,1257.484,1668.857
0.32715,1257.519,1668.917
0.32716,1257.554,1668.976
0.32717,1257.59,1669.035
0.32718,1257.625,1669.094
0.32719,1257.66,1669.154
0.3272,1257.695,1669.213
0.32721,1257.73,1669.272
0.32722,1257.766,1669.331
0.32723,1257.801,1669.391
0.32724,1257.836,1669.45
0.32725,1257.871,1669.509
0.32726,1257.906,1669.568
0.32727,1257.941,1669.628
0.32728,1257.977,1669.687
0.32729,1258.012,1669.746
0.3273,1258.047,1669.806
0.32731,1258.082,1669.865
0.32732,1258.117,1669.924
0.32733,1258.152,1669.983
0.32734,1258.188,1670.043
0.32735,1258.223,1670.102
0.32736,1258.258,1670.161
0.32737,1258.293,1670.22
0.32738,1258.328,1670.28
0.32739,1258.363,1670.339
0.3274,1258.399,1670.398
0.32741,1258.434,1670.458
0.32742,1258.469,1670.517
0.32743,1258.504,1670.576
0.32744,1258.539,1670.635
0.32745,1258.574,1670.695
0.32746,1258.61,1670.754
0.32747,1258.645,1670.813
0.32748,1258.68,1670.872
0.32749,1258.715,1670.932
0.3275,1258.75,1670.991
0.32751,1258.785,1671.05
0.32752,1258.821,1671.109
0.32753,1258.856,1671.169
0.32754,1258.891,1671.228
0.32755,1258.926,1671.287
0.32756,1258.961,1671.347
0.32757,1258.996,1671.406
0.32758,1259.032,1671.465
0.32759,1259.067,1671.524
0.3276,1259.102,1671.584
0.32761,1259.137,1671.643
0.32762,1259.172,1671.702
0.32763,1259.207,1671.762
0.32764,1259.243,1671.821
0.32765,1259.278,1671.88
0.32766,1259.313,1671.939
0.32767,1259.348,1671.999
0.32768,1259.383,1672.058
0.32769,1259.418,1672.117
0.3277,1259.454,1672.177
0.32771,1259.489,1672.236
0.32772,1259.524,1672.295
0.32773,1259.559,1672.354
0.32774,1259.594,1672.414
0.32775,1259.629,1672.473
0.32776,1259.665,1672.532
0.32777,1259.7,1672.592
0.32778,1259.735,1672.651
0.32779,1259.77,1672.71
0.3278,1259.805,1672.769
0.32781,1259.84,1672.829
0.32782,1259.875,1672.888
0.32783,1259.911,1672.947
0.32784,1259.946,1673.006
0.32785,1259.981,1673.066
0.32786,1260.016,1673.125
0.32787,1260.051,1673.184
0.32788,1260.087,1673.244
0.32789,1260.122,1673.303
0.3279,1260.157,1673.362
0.32791,1260.192,1673.422
0.32792,1260.227,1673.481
0.32793,1260.262,1673.54
0.32794,1260.297,1673.599
0.32795,1260.333,1673.659
0.32796,1260.368,1673.718
0.32797,1260.403,1673.777
0.32798,1260.438,1673.837
0.32799,1260.473,1673.896
0.328,1260.508,1673.955
0.32801,1260.544,1674.015
0.32802,1260.579,1674.074
0.32803,1260.614,1674.133
0.32804,1260.649,1674.192
0.32805,1260.684,1674.252
0.32806,1260.719,1674.311
0.32807,1260.755,1674.37
0.32808,1260.79,1674.43
0.32809,1260.825,1674.489
0.3281,1260.86,1674.548
0.32811,1260.895,1674.607
0.32812,1260.93,1674.667
0.32813,1260.965,1674.726
0.32814,1261.001,1674.785
0.32815,1261.036,1674.845
0.32816,1261.071,1674.904
0.32817,1261.106,1674.963
0.32818,1261.141,1675.023
0.32819,1261.176,1675.082
0.3282,1261.212,1675.141
0.32821,1261.247,1675.2
0.32822,1261.282,1675.26
0.32823,1261.317,1675.319
0.32824,1261.352,1675.378
0.32825,1261.387,1675.438
0.32826,1261.422,1675.497
0.32827,1261.458,1675.556
0.32828,1261.493,1675.616
0.32829,1261.528,1675.675
0.3283,1261.563,1675.734
0.32831,1261.598,1675.794
0.32832,1261.633,1675.853
0.32833,1261.669,1675.912
0.32834,1261.704,1675.971
0.32835,1261.739,1676.031
0.32836,1261.774,1676.09
0.32837,1261.809,1676.149
0.32838,1261.844,1676.209
0.32839,1261.879,1676.268
0.3284,1261.915,1676.327
0.32841,1261.95,1676.387
0.32842,1261.985,1676.446
0.32843,1262.02,1676.505
0.32844,1262.055,1676.565
0.32845,1262.09,1676.624
0.32846,1262.125,1676.683
0.32847,1262.161,1676.743
0.32848,1262.196,1676.802
0.32849,1262.231,1676.861
0.3285,1262.266,1676.921
0.32851,1262.301,1676.98
0.32852,1262.336,1677.039
0.32853,1262.372,1677.098
0.32854,1262.407,1677.158
0.32855,1262.442,1677.217
0.32856,1262.477,1677.276
0.32857,1262.512,1677.336
0.32858,1262.547,1677.395
0.32859,1262.582,1677.454
0.3286,1262.618,1677.514
0.32861,1262.653,1677.573
0.32862,1262.688,1677.632
0.32863,1262.723,1677.692
0.32864,1262.758,1677.751
0.32865,1262.793,1677.81
0.32866,1262.828,1677.87
0.32867,1262.864,1677.929
0.32868,1262.899,1677.988
0.32869,1262.934,1678.048
0.3287,1262.969,1678.107
0.32871,1263.004,1678.166
0.32872,1263.039,1678.226
0.32873,1263.074,1678.285
0.32874,1263.11,1678.344
0.32875,1263.145,1678.404
0.32876,1263.18,1678.463
0.32877,1263.215,1678.522
0.32878,1263.25,1678.582
0.32879,1263.285,1678.641
0.3288,1263.32,1678.7
0.32881,1263.356,1678.76
0.32882,1263.391,1678.819
0.32883,1263.426,1678.878
0.32884,1263.461,1678.938
0.32885,1263.496,1678.997
0.32886,1263.531,1679.056
0.32887,1263.566,1679.115
0.32888,1263.602,1679.175
0.32889,1263.637,1679.234
0.3289,1263.672,1679.294
0.32891,1263.707,1679.353
0.32892,1263.742,1679.412
0.32893,1263.777,1679.472
0.32894,1263.812,1679.531
0.32895,1263.848,1679.59
0.32896,1263.883,1679.65
0.32897,1263.918,1679.709
0.32898,1263.953,1679.768
0.32899,1263.988,1679.828
0.329,1264.023,1679.887
0.32901,1264.058,1679.946
0.32902,1264.094,1680.006
0.32903,1264.129,1680.065
0.32904,1264.164,1680.124
0.32905,1264.199,1680.184
0.32906,1264.234,1680.243
0.32907,1264.269,1680.302
0.32908,1264.304,1680.362
0.32909,1264.339,1680.421
0.3291,1264.375,1680.48
0.32911,1264.41,1680.54
0.32912,1264.445,1680.599
0.32913,1264.48,1680.658
0.32914,1264.515,1680.718
0.32915,1264.55,1680.777
0.32916,1264.585,1680.836
0.32917,1264.621,1680.896
0.32918,1264.656,1680.955
0.32919,1264.691,1681.014
0.3292,1264.726,1681.074
0.32921,1264.761,1681.133
0.32922,1264.796,1681.193
0.32923,1264.831,1681.252
0.32924,1264.867,1681.311
0.32925,1264.902,1681.37
0.32926,1264.937,1681.43
0.32927,1264.972,1681.489
0.32928,1265.007,1681.549
0.32929,1265.042,1681.608
0.3293,1265.077,1681.667
0.32931,1265.112,1681.727
0.32932,1265.148,1681.786
0.32933,1265.183,1681.845
0.32934,1265.218,1681.905
0.32935,1265.253,1681.964
0.32936,1265.288,1682.023
0.32937,1265.323,1682.083
0.32938,1265.358,1682.142
0.32939,1265.394,1682.201
0.3294,1265.429,1682.261
0.32941,1265.464,1682.32
0.32942,1265.499,1682.38
0.32943,1265.534,1682.439
0.32944,1265.569,1682.498
0.32945,1265.604,1682.558
0.32946,1265.639,1682.617
0.32947,1265.675,1682.676
0.32948,1265.71,1682.736
0.32949,1265.745,1682.795
0.3295,1265.78,1682.854
0.32951,1265.815,1682.914
0.32952,1265.85,1682.973
0.32953,1265.885,1683.032
0.32954,1265.92,1683.092
0.32955,1265.956,1683.151
0.32956,1265.991,1683.211
0.32957,1266.026,1683.27
0.32958,1266.061,1683.329
0.32959,1266.096,1683.389
0.3296,1266.131,1683.448
0.32961,1266.166,1683.507
0.32962,1266.201,1683.567
0.32963,1266.237,1683.626
0.32964,1266.272,1683.686
0.32965,1266.307,1683.745
0.32966,1266.342,1683.804
0.32967,1266.377,1683.864
0.32968,1266.412,1683.923
0.32969,1266.447,1683.982
0.3297,1266.482,1684.042
0.32971,1266.518,1684.101
0.32972,1266.553,1684.16
0.32973,1266.588,1684.22
0.32974,1266.623,1684.279
0.32975,1266.658,1684.339
0.32976,1266.693,1684.398
0.32977,1266.728,1684.457
0.32978,1266.763,1684.517
0.32979,1266.799,1684.576
0.3298,1266.834,1684.635
0.32981,1266.869,1684.695
0.32982,1266.904,1684.754
0.32983,1266.939,1684.814
0.32984,1266.974,1684.873
0.32985,1267.009,1684.932
0.32986,1267.044,1684.992
0.32987,1267.08,1685.051
0.32988,1267.115,1685.11
0.32989,1267.15,1685.17
0.3299,1267.185,1685.229
0.32991,1267.22,1685.289
0.32992,1267.255,1685.348
0.32993,1267.29,1685.407
0.32994,1267.325,1685.467
0.32995,1267.36,1685.526
0.32996,1267.396,1685.585
0.32997,1267.431,1685.645
0.32998,1267.466,1685.704
0.32999,1267.501,1685.764
0.33,1267.536,1685.823
0.33001,1267.571,1685.882
0.33002,1267.606,1685.942
0.33003,1267.641,1686.001
0.33004,1267.677,1686.061
0.33005,1267.712,1686.12
0.33006,1267.747,1686.179
0.33007,1267.782,1686.239
0.33008,1267.817,1686.298
0.33009,1267.852,1686.357
0.3301,1267.887,1686.417
0.33011,1267.922,1686.476
0.33012,1267.958,1686.536
0.33013,1267.993,1686.595
0.33014,1268.028,1686.654
0.33015,1268.063,1686.714
0.33016,1268.098,1686.773
0.33017,1268.133,1686.833
0.33018,1268.168,1686.892
0.33019,1268.203,1686.951
0.3302,1268.238,1687.011
0.33021,1268.274,1687.07
0.33022,1268.309,1687.13
0.33023,1268.344,1687.189
0.33024,1268.379,1687.248
0.33025,1268.414,1687.308
0.33026,1268.449,1687.367
0.33027,1268.484,1687.427
0.33028,1268.519,1687.486
0.33029,1268.554,1687.545
0.3303,1268.59,1687.605
0.33031,1268.625,1687.664
0.33032,1268.66,1687.724
0.33033,1268.695,1687.783
0.33034,1268.73,1687.842
0.33035,1268.765,1687.902
0.33036,1268.8,1687.961
0.33037,1268.835,1688.021
0.33038,1268.87,1688.08
0.33039,1268.906,1688.139
0.3304,1268.941,1688.199
0.33041,1268.976,1688.258
0.33042,1269.011,1688.318
0.33043,1269.046,1688.377
0.33044,1269.081,1688.436
0.33045,1269.116,1688.496
0.33046,1269.151,1688.555
0.33047,1269.186,1688.615
0.33048,1269.222,1688.674
0.33049,1269.257,1688.733
0.3305,1269.292,1688.793
0.33051,1269.327,1688.852
0.33052,1269.362,1688.911
0.33053,1269.397,1688.971
0.33054,1269.432,1689.03
0.33055,1269.467,1689.09
0.33056,1269.502,1689.149
0.33057,1269.537,1689.208
0.33058,1269.573,1689.268
0.33059,1269.608,1689.327
0.3306,1269.643,1689.387
0.33061,1269.678,1689.446
0.33062,1269.713,1689.506
0.33063,1269.748,1689.565
0.33064,1269.783,1689.624
0.33065,1269.818,1689.684
0.33066,1269.854,1689.743
0.33067,1269.889,1689.803
0.33068,1269.924,1689.862
0.33069,1269.959,1689.922
0.3307,1269.994,1689.981
0.33071,1270.029,1690.04
0.33072,1270.064,1690.1
0.33073,1270.099,1690.159
0.33074,1270.134,1690.219
0.33075,1270.169,1690.278
0.33076,1270.205,1690.337
0.33077,1270.24,1690.397
0.33078,1270.275,1690.456
0.33079,1270.31,1690.516
0.3308,1270.345,1690.575
0.33081,1270.38,1690.635
0.33082,1270.415,1690.694
0.33083,1270.45,1690.753
0.33084,1270.485,1690.813
0.33085,1270.521,1690.872
0.33086,1270.556,1690.932
0.33087,1270.591,1690.991
0.33088,1270.626,1691.05
0.33089,1270.661,1691.11
0.3309,1270.696,1691.169
0.33091,1270.731,1691.229
0.33092,1270.766,1691.288
0.33093,1270.801,1691.348
0.33094,1270.836,1691.407
0.33095,1270.871,1691.466
0.33096,1270.907,1691.526
0.33097,1270.942,1691.585
0.33098,1270.977,1691.645
0.33099,1271.012,1691.704
0.331,1271.047,1691.764
0.33101,1271.082,1691.823
0.33102,1271.117,1691.882
0.33103,1271.152,1691.942
0.33104,1271.187,1692.001
0.33105,1271.222,1692.061
0.33106,1271.258,1692.12
0.33107,1271.293,1692.179
0.33108,1271.328,1692.239
0.33109,1271.363,1692.298
0.3311,1271.398,1692.358
0.33111,1271.433,1692.417
0.33112,1271.468,1692.477
0.33113,1271.503,1692.536
0.33114,1271.538,1692.595
0.33115,1271.573,1692.655
0.33116,1271.609,1692.714
0.33117,1271.644,1692.774
0.33118,1271.679,1692.833
0.33119,1271.714,1692.893
0.3312,1271.749,1692.952
0.33121,1271.784,1693.012
0.33122,1271.819,1693.071
0.33123,1271.854,1693.13
0.33124,1271.889,1693.19
0.33125,1271.924,1693.249
0.33126,1271.959,1693.309
0.33127,1271.995,1693.368
0.33128,1272.03,1693.428
0.33129,1272.065,1693.487
0.3313,1272.1,1693.547
0.33131,1272.135,1693.606
0.33132,1272.17,1693.665
0.33133,1272.205,1693.725
0.33134,1272.24,1693.784
0.33135,1272.275,1693.844
0.33136,1272.31,1693.903
0.33137,1272.345,1693.963
0.33138,1272.381,1694.022
0.33139,1272.416,1694.081
0.3314,1272.451,1694.141
0.33141,1272.486,1694.2
0.33142,1272.521,1694.26
0.33143,1272.556,1694.319
0.33144,1272.591,1694.379
0.33145,1272.626,1694.438
0.33146,1272.661,1694.498
0.33147,1272.696,1694.557
0.33148,1272.731,1694.616
0.33149,1272.767,1694.676
0.3315,1272.802,1694.735
0.33151,1272.837,1694.795
0.33152,1272.872,1694.854
0.33153,1272.907,1694.914
0.33154,1272.942,1694.973
0.33155,1272.977,1695.033
0.33156,1273.012,1695.092
0.33157,1273.047,1695.151
0.33158,1273.082,1695.211
0.33159,1273.117,1695.27
0.3316,1273.152,1695.33
0.33161,1273.188,1695.389
0.33162,1273.223,1695.449
0.33163,1273.258,1695.508
0.33164,1273.293,1695.568
0.33165,1273.328,1695.627
0.33166,1273.363,1695.687
0.33167,1273.398,1695.746
0.33168,1273.433,1695.806
0.33169,1273.468,1695.865
0.3317,1273.503,1695.924
0.33171,1273.538,1695.984
0.33172,1273.573,1696.043
0.33173,1273.609,1696.103
0.33174,1273.644,1696.162
0.33175,1273.679,1696.222
0.33176,1273.714,1696.281
0.33177,1273.749,1696.341
0.33178,1273.784,1696.4
0.33179,1273.819,1696.46
0.3318,1273.854,1696.519
0.33181,1273.889,1696.578
0.33182,1273.924,1696.638
0.33183,1273.959,1696.697
0.33184,1273.995,1696.757
0.33185,1274.03,1696.816
0.33186,1274.065,1696.876
0.33187,1274.1,1696.935
0.33188,1274.135,1696.995
0.33189,1274.17,1697.054
0.3319,1274.205,1697.114
0.33191,1274.24,1697.173
0.33192,1274.275,1697.233
0.33193,1274.31,1697.292
0.33194,1274.345,1697.352
0.33195,1274.38,1697.411
0.33196,1274.416,1697.47
0.33197,1274.451,1697.53
0.33198,1274.486,1697.589
0.33199,1274.521,1697.649
0.332,1274.556,1697.708
0.33201,1274.591,1697.768
0.33202,1274.626,1697.827
0.33203,1274.661,1697.887
0.33204,1274.696,1697.946
0.33205,1274.731,1698.006
0.33206,1274.766,1698.065
0.33207,1274.801,1698.125
0.33208,1274.836,1698.184
0.33209,1274.872,1698.244
0.3321,1274.907,1698.303
0.33211,1274.942,1698.363
0.33212,1274.977,1698.422
0.33213,1275.012,1698.482
0.33214,1275.047,1698.541
0.33215,1275.082,1698.6
0.33216,1275.117,1698.66
0.33217,1275.152,1698.719
0.33218,1275.187,1698.779
0.33219,1275.222,1698.838
0.3322,1275.257,1698.898
0.33221,1275.292,1698.957
0.33222,1275.328,1699.017
0.33223,1275.363,1699.076
0.33224,1275.398,1699.136
0.33225,1275.433,1699.195
0.33226,1275.468,1699.255
0.33227,1275.503,1699.314
0.33228,1275.538,1699.374
0.33229,1275.573,1699.433
0.3323,1275.608,1699.493
0.33231,1275.643,1699.552
0.33232,1275.678,1699.612
0.33233,1275.713,1699.671
0.33234,1275.748,1699.731
0.33235,1275.783,1699.79
0.33236,1275.818,1699.85
0.33237,1275.854,1699.909
0.33238,1275.889,1699.969
0.33239,1275.924,1700.028
0.3324,1275.959,1700.088
0.33241,1275.994,1700.147
0.33242,1276.029,1700.207
0.33243,1276.064,1700.266
0.33244,1276.099,1700.325
0.33245,1276.134,1700.385
0.33246,1276.169,1700.444
0.33247,1276.204,1700.504
0.33248,1276.239,1700.563
0.33249,1276.274,1700.623
0.3325,1276.31,1700.682
0.33251,1276.345,1700.742
0.33252,1276.38,1700.801
0.33253,1276.415,1700.861
0.33254,1276.45,1700.92
0.33255,1276.485,1700.98
0.33256,1276.52,1701.039
0.33257,1276.555,1701.099
0.33258,1276.59,1701.158
0.33259,1276.625,1701.218
0.3326,1276.66,1701.277
0.33261,1276.695,1701.337
0.33262,1276.73,1701.396
0.33263,1276.765,1701.456
0.33264,1276.8,1701.515
0.33265,1276.836,1701.575
0.33266,1276.871,1701.634
0.33267,1276.906,1701.694
0.33268,1276.941,1701.753
0.33269,1276.976,1701.813
0.3327,1277.011,1701.872
0.33271,1277.046,1701.932
0.33272,1277.081,1701.991
0.33273,1277.116,1702.051
0.33274,1277.151,1702.11
0.33275,1277.186,1702.17
0.33276,1277.221,1702.229
0.33277,1277.256,1702.289
0.33278,1277.291,1702.348
0.33279,1277.326,1702.408
0.3328,1277.361,1702.467
0.33281,1277.397,1702.527
0.33282,1277.432,1702.586
0.33283,1277.467,1702.646
0.33284,1277.502,1702.705
0.33285,1277.537,1702.765
0.33286,1277.572,1702.824
0.33287,1277.607,1702.884
0.33288,1277.642,1702.943
0.33289,1277.677,1703.003
0.3329,1277.712,1703.063
0.33291,1277.747,1703.122
0.33292,1277.782,1703.182
0.33293,1277.817,1703.241
0.33294,1277.852,1703.301
0.33295,1277.887,1703.36
0.33296,1277.922,1703.42
0.33297,1277.958,1703.479
0.33298,1277.993,1703.539
0.33299,1278.028,1703.598
0.333,1278.063,1703.658
0.33301,1278.098,1703.717
0.33302,1278.133,1703.777
0.33303,1278.168,1703.836
0.33304,1278.203,1703.896
0.33305,1278.238,1703.955
0.33306,1278.273,1704.015
0.33307,1278.308,1704.074
0.33308,1278.343,1704.134
0.33309,1278.378,1704.193
0.3331,1278.413,1704.253
0.33311,1278.448,1704.312
0.33312,1278.483,1704.372
0.33313,1278.518,1704.431
0.33314,1278.553,1704.491
0.33315,1278.589,1704.55
0.33316,1278.624,1704.61
0.33317,1278.659,1704.669
0.33318,1278.694,1704.729
0.33319,1278.729,1704.788
0.3332,1278.764,1704.848
0.33321,1278.799,1704.907
0.33322,1278.834,1704.967
0.33323,1278.869,1705.026
0.33324,1278.904,1705.086
0.33325,1278.939,1705.146
0.33326,1278.974,1705.205
0.33327,1279.009,1705.265
0.33328,1279.044,1705.324
0.33329,1279.079,1705.384
0.3333,1279.114,1705.443
0.33331,1279.149,1705.503
0.33332,1279.184,1705.562
0.33333,1279.22,1705.622
0.33334,1279.255,1705.681
0.33335,1279.29,1705.741
0.33336,1279.325,1705.8
0.33337,1279.36,1705.86
0.33338,1279.395,1705.919
0.33339,1279.43,1705.979
0.3334,1279.465,1706.038
0.33341,1279.5,1706.098
0.33342,1279.535,1706.158
0.33343,1279.57,1706.217
0.33344,1279.605,1706.277
0.33345,1279.64,1706.336
0.33346,1279.675,1706.396
0.33347,1279.71,1706.455
0.33348,1279.745,1706.515
0.33349,1279.78,1706.574
0.3335,1279.815,1706.634
0.33351,1279.85,1706.693
0.33352,1279.885,1706.753
0.33353,1279.921,1706.813
0.33354,1279.956,1706.872
0.33355,1279.991,1706.932
0.33356,1280.026,1706.991
0.33357,1280.061,1707.051
0.33358,1280.096,1707.11
0.33359,1280.131,1707.17
0.3336,1280.166,1707.229
0.33361,1280.201,1707.289
0.33362,1280.236,1707.348
0.33363,1280.271,1707.408
0.33364,1280.306,1707.467
0.33365,1280.341,1707.527
0.33366,1280.376,1707.586
0.33367,1280.411,1707.646
0.33368,1280.446,1707.706
0.33369,1280.481,1707.765
0.3337,1280.516,1707.825
0.33371,1280.551,1707.884
0.33372,1280.586,1707.944
0.33373,1280.621,1708.003
0.33374,1280.656,1708.063
0.33375,1280.692,1708.122
0.33376,1280.727,1708.182
0.33377,1280.762,1708.241
0.33378,1280.797,1708.301
0.33379,1280.832,1708.361
0.3338,1280.867,1708.42
0.33381,1280.902,1708.48
0.33382,1280.937,1708.539
0.33383,1280.972,1708.599
0.33384,1281.007,1708.658
0.33385,1281.042,1708.718
0.33386,1281.077,1708.777
0.33387,1281.112,1708.837
0.33388,1281.147,1708.896
0.33389,1281.182,1708.956
0.3339,1281.217,1709.016
0.33391,1281.252,1709.075
0.33392,1281.287,1709.135
0.33393,1281.322,1709.194
0.33394,1281.357,1709.254
0.33395,1281.392,1709.313
0.33396,1281.427,1709.373
0.33397,1281.463,1709.432
0.33398,1281.498,1709.492
0.33399,1281.533,1709.552
0.334,1281.568,1709.611
0.33401,1281.603,1709.671
0.33402,1281.638,1709.73
0.33403,1281.673,1709.79
0.33404,1281.708,1709.849
0.33405,1281.743,1709.909
0.33406,1281.778,1709.969
0.33407,1281.813,1710.028
0.33408,1281.848,1710.088
0.33409,1281.883,1710.147
0.3341,1281.918,1710.207
0.33411,1281.953,1710.266
0.33412,1281.988,1710.326
