z,d_M,d_L
0.00213,8.906429,8.9254
0.00214,8.948028,8.967177
0.00215,8.989627,9.008954
0.00216,9.031225,9.050732
0.00217,9.072823,9.092511
0.00218,9.114421,9.13429
0.00219,9.156019,9.17607
0.0022,9.197616,9.217851
0.00221,9.239213,9.259632
0.00222,9.280811,9.301414
0.00223,9.322408,9.343197
0.00224,9.364004,9.38498
0.00225,9.405601,9.426764
0.00226,9.447197,9.468548
0.00227,9.488794,9.510333
0.00228,9.53039,9.552119
0.00229,9.571986,9.593905
0.0023,9.613581,9.635692
0.00231,9.655177,9.67748
0.00232,9.696772,9.719268
0.00233,9.738367,9.761057
0.00234,9.779962,9.802847
0.00235,9.821557,9.844637
0.00236,9.863151,9.886428
0.00237,9.904746,9.92822
0.00238,9.94634,9.970012
0.00239,9.987934,10.0118
0.0024,10.02953,10.0536
0.00241,10.07112,10.09539
0.00242,10.11271,10.13719
0.00243,10.15431,10.17898
0.00244,10.1959,10.22078
0.00245,10.23749,10.26258
0.00246,10.27909,10.30437
0.00247,10.32068,10.34617
0.00248,10.36227,10.38797
0.00249,10.40386,10.42977
0.0025,10.44545,10.47157
0.00251,10.48705,10.51337
0.00252,10.52864,10.55517
0.00253,10.57023,10.59697
0.00254,10.61182,10.63877
0.00255,10.65341,10.68058
0.00256,10.695,10.72238
0.00257,10.73659,10.76419
0.00258,10.77818,10.80599
0.00259,10.81977,10.8478
0.0026,10.86136,10.8896
0.00261,10.90295,10.93141
0.00262,10.94454,10.97322
0.00263,10.98613,11.01503
0.00264,11.02772,11.05684
0.00265,11.06931,11.09865
0.00266,11.1109,11.14046
0.00267,11.15249,11.18227
0.00268,11.19408,11.22408
0.00269,11.23567,11.26589
0.0027,11.27725,11.3077
0.00271,11.31884,11.34952
0.00272,11.36043,11.39133
0.00273,11.40202,11.43314
0.00274,11.44361,11.47496
0.00275,11.48519,11.51678
0.00276,11.52678,11.55859
0.00277,11.56837,11.60041
0.00278,11.60995,11.64223
0.00279,11.65154,11.68405
0.0028,11.69312,11.72587
0.00281,11.73471,11.76769
0.00282,11.7763,11.80951
0.00283,11.81788,11.85133
0.00284,11.85947,11.89315
0.00285,11.90105,11.93497
0.00286,11.94264,11.9768
0.00287,11.98422,12.01862
0.00288,12.02581,12.06044
0.00289,12.06739,12.10227
0.0029,12.10898,12.14409
0.00291,12.15056,12.18592
0.00292,12.19215,12.22775
0.00293,12.23373,12.26958
0.00294,12.27531,12.3114
0.00295,12.3169,12.35323
0.00296,12.35848,12.39506
0.00297,12.40006,12.43689
0.00298,12.44165,12.47872
0.00299,12.48323,12.52055
0.003,12.52481,12.56239
0.00301,12.56639,12.60422
0.00302,12.60798,12.64605
0.00303,12.64956,12.68789
0.00304,12.69114,12.72972
0.00305,12.73272,12.77156
0.00306,12.7743,12.81339
0.00307,12.81588,12.85523
0.00308,12.85746,12.89707
0.00309,12.89905,12.9389
0.0031,12.94063,12.98074
0.00311,12.98221,13.02258
0.00312,13.02379,13.06442
0.00313,13.06537,13.10626
0.00314,13.10695,13.1481
0.00315,13.14853,13.18995
0.00316,13.19011,13.23179
0.00317,13.23169,13.27363
0.00318,13.27326,13.31547
0.00319,13.31484,13.35732
0.0032,13.35642,13.39916
0.00321,13.398,13.44101
0.00322,13.43958,13.48285
0.00323,13.48116,13.5247
0.00324,13.52274,13.56655
0.00325,13.56431,13.6084
0.00326,13.60589,13.65025
0.00327,13.64747,13.6921
0.00328,13.68905,13.73395
0.00329,13.73062,13.7758
0.0033,13.7722,13.81765
0.00331,13.81378,13.8595
0.00332,13.85535,13.90135
0.00333,13.89693,13.94321
0.00334,13.93851,13.98506
0.00335,13.98008,14.02691
0.00336,14.02166,14.06877
0.00337,14.06323,14.11063
0.00338,14.10481,14.15248
0.00339,14.14638,14.19434
0.0034,14.18796,14.2362
0.00341,14.22953,14.27806
0.00342,14.27111,14.31991
0.00343,14.31268,14.36178
0.00344,14.35426,14.40364
0.00345,14.39583,14.4455
0.00346,14.4374,14.48736
0.00347,14.47898,14.52922
0.00348,14.52055,14.57108
0.00349,14.56213,14.61295
0.0035,14.6037,14.65481
0.00351,14.64527,14.69668
0.00352,14.68684,14.73854
0.00353,14.72842,14.78041
0.00354,14.76999,14.82228
0.00355,14.81156,14.86414
0.00356,14.85313,14.90601
0.00357,14.8947,14.94788
0.00358,14.93628,14.98975
0.00359,14.97785,15.03162
0.0036,15.01942,15.07349
0.00361,15.06099,15.11536
0.00362,15.10256,15.15723
0.00363,15.14413,15.19911
0.00364,15.1857,15.24098
0.00365,15.22727,15.28285
0.00366,15.26884,15.32473
0.00367,15.31041,15.3666
0.00368,15.35198,15.40848
0.00369,15.39355,15.45035
0.0037,15.43512,15.49223
0.00371,15.47669,15.53411
0.00372,15.51826,15.57599
0.00373,15.55983,15.61787
0.00374,15.6014,15.65975
0.00375,15.64297,15.70163
0.00376,15.68453,15.74351
0.00377,15.7261,15.78539
0.00378,15.76767,15.82727
0.00379,15.80924,15.86915
0.0038,15.85081,15.91104
0.00381,15.89237,15.95292
0.00382,15.93394,15.99481
0.00383,15.97551,16.03669
0.00384,16.01707,16.07858
0.00385,16.05864,16.12047
0.00386,16.10021,16.16235
0.00387,16.14177,16.20424
0.00388,16.18334,16.24613
0.00389,16.2249,16.28802
0.0039,16.26647,16.32991
0.00391,16.30803,16.3718
0.00392,16.3496,16.41369
0.00393,16.39117,16.45558
0.00394,16.43273,16.49747
0.00395,16.47429,16.53937
0.00396,16.51586,16.58126
0.00397,16.55742,16.62316
0.00398,16.59899,16.66505
0.00399,16.64055,16.70695
0.004,16.68212,16.74884
0.00401,16.72368,16.79074
0.00402,16.76524,16.83264
0.00403,16.80681,16.87454
0.00404,16.84837,16.91644
0.00405,16.88993,16.95834
0.00406,16.93149,17.00024
0.00407,16.97306,17.04214
0.00408,17.01462,17.08404
0.00409,17.05618,17.12594
0.0041,17.09774,17.16784
0.00411,17.13931,17.20975
0.00412,17.18087,17.25165
0.00413,17.22243,17.29356
0.00414,17.26399,17.33546
0.00415,17.30555,17.37737
0.00416,17.34711,17.41927
0.00417,17.38867,17.46118
0.00418,17.43023,17.50309
0.00419,17.47179,17.545
0.0042,17.51335,17.58691
0.00421,17.55491,17.62882
0.00422,17.59647,17.67073
0.00423,17.63803,17.71264
0.00424,17.67959,17.75455
0.00425,17.72115,17.79646
0.00426,17.76271,17.83838
0.00427,17.80427,17.88029
0.00428,17.84582,17.9222
0.00429,17.88738,17.96412
0.0043,17.92894,18.00603
0.00431,17.9705,18.04795
0.00432,18.01206,18.08987
0.00433,18.05361,18.13179
0.00434,18.09517,18.1737
0.00435,18.13673,18.21562
0.00436,18.17829,18.25754
0.00437,18.21984,18.29946
0.00438,18.2614,18.34138
0.00439,18.30296,18.3833
0.0044,18.34451,18.42523
0.00441,18.38607,18.46715
0.00442,18.42762,18.50907
0.00443,18.46918,18.551
0.00444,18.51073,18.59292
0.00445,18.55229,18.63485
0.00446,18.59385,18.67677
0.00447,18.6354,18.7187
0.00448,18.67695,18.76063
0.00449,18.71851,18.80256
0.0045,18.76006,18.84448
0.00451,18.80162,18.88641
0.00452,18.84317,18.92834
0.00453,18.88473,18.97027
