object_tag,PLATE,FIBERID,MJD,MPA_tag
2249235,2783,416,54524,910414
2178073,2353,332,53794,804782
1983967,2204,572,53877,764783
2176618,2220,490,53795,771726
2178512,2222,441,53799,772686
2176451,2213,467,53792,768428
2198747,2293,19,53730,795890
1985671,2139,617,53878,743549
2198333,2272,614,53713,788090
2178147,2356,566,53786,806287
2178304,2215,357,53793,769315
2178365,2215,575,53793,769486
2177694,2271,284,53726,787460
2297694,2496,64,54178,834809
1985858,2149,23,54509,748116
2297947,2511,140,53882,842593
2298179,2646,123,54479,880664
2250258,2666,606,54230,889926
2178296,2213,377,53792,768360
2297808,2504,174,54179,839042
2298541,2653,9,54230,883627
2298384,2650,16,54505,882258
2298834,2773,56,54533,905218
2299166,2764,529,54535,901346
2299174,2778,60,54539,907798
2299306,2780,122,54557,908864
2299420,2517,151,54567,846089
2298175,2646,213,54479,880727
2297924,2511,233,53882,842672
2298576,2654,99,54231,884105
2298676,2771,313,54527,904554
2168166,2347,56,53757,801766
2170287,2278,415,53711,790342
2170605,2290,635,53727,795134
2009554,2170,79,53875,758805
1994737,2200,54,53875,762833
1994007,2148,345,54526,747864
1995791,2119,521,53792,733036
1995874,2124,617,53770,735573
2010105,2114,217,53848,730191
1996468,2156,460,54525,752098
1995914,2127,86,53859,736559
1996795,2170,73,53875,758800
1995622,2114,281,53848,730242
1996910,2200,237,53875,762997
1996960,2200,141,53875,762912
1997684,2246,539,53767,784445
2414880,2595,226,54207,864810
2297144,2373,258,53768,813370
2412721,614,7,53437,169723
2297529,2488,284,54149,831032
2413007,2883,537,54525,918653
2411630,2596,575,54207,865505
2413936,2595,281,54207,864848
2412083,2604,328,54484,869086
2414100,2598,299,54232,866216
2414343,2601,18,54144,867464
2414961,2596,157,54207,865210
2414947,2596,192,54207,865235
2415747,2596,279,54207,865297
2245637,2666,98,54230,889578
2246356,2665,104,54232,889120
2286540,2648,499,54485,881788
2333760,2495,406,54175,834566
2333888,2507,250,53876,840653
2310085,2425,179,54139,818030
2334108,2609,363,54476,871473
2334177,2610,570,54476,872091
2333416,2615,332,54483,874260
2332896,2509,398,54180,841785
2276303,2643,55,54208,879202
2335534,2792,159,54556,914789
2336849,2747,364,54233,892704
2336838,2760,122,54506,898977
2336724,2758,89,54523,897940
2335200,2793,105,54271,915238
2335211,2793,12,54271,915163
2335336,2789,117,54555,913230
2335674,2518,502,54243,846796
2336634,2756,44,54508,896928
2336527,2642,1,54232,878679
2336528,2755,294,54507,896625
2312125,2651,349,54507,882948
2311908,2646,489,54479,880941
2235269,2281,635,53711,791628
2235902,2355,231,53792,805605
2313130,2781,324,54266,909480
2232560,2274,54,53726,788604
2232987,2286,17,53700,793345
2235379,2288,188,53699,794212
2332767,2502,372,54180,838133
2235478,2292,308,53713,795656
2233169,2295,220,53734,797278
2233286,2343,188,53735,800080
2237641,2346,305,53734,801498
2233284,2343,226,53735,800106
2237666,2346,511,53734,801642
2237716,2349,435,53734,802789
2233369,2346,61,53734,801318
2236889,2270,202,53714,786984
2233835,2218,267,53816,770624
2239163,2295,606,53734,797580
2237458,2292,398,53713,795712
2234003,2221,276,53792,772058
2234870,2268,215,53682,786204
2234861,2265,630,53674,785235
2237987,2214,486,53794,768931
2239556,2357,615,53793,806741
2238362,2227,433,53820,775149
2237860,2357,394,53793,806590
2239458,2352,570,53770,804500
2334268,2612,527,54480,873031
2235422,2289,302,53708,794610
2239291,2346,421,53734,801576
2305349,2424,537,54448,817850
2335908,2791,588,54556,914629
2305198,2420,135,54086,815953
2234946,2270,141,53714,786946
2235050,2274,141,53726,788673
2235100,2276,180,53712,789460
2262083,2505,196,53856,839587
2322646,2505,283,53856,839659
2262106,2505,39,53856,839456
2262417,2365,109,53739,809782
2235900,2355,234,53792,805607
2262224,2514,3,53882,844037
2262651,2481,594,54086,827724
2237654,2346,395,53734,801556
2263500,2477,311,54058,825489
2262555,2367,78,53763,810663
2237539,2295,487,53734,797483
2263936,2505,138,53856,839540
2262637,2481,106,54086,827329
2323131,2659,498,54498,886773
2263477,2367,142,53763,810696
2264042,2514,151,53882,844157
2263429,2366,593,53741,810585
2263504,2477,279,54058,825463
2264870,2497,600,54154,835757
2263873,2497,629,54154,835782
2263615,2481,623,54086,827749
2263973,2510,176,53877,842121
2265355,2481,414,54086,827583
2265572,2497,385,54154,835583
2264283,2365,600,53739,810119
2266048,2497,417,54154,835608
2379895,2533,625,54585,853341
2478540,2430,170,53815,820012
2477336,2434,595,53826,822213
2367392,2756,564,54508,897337
2368497,2532,417,54589,852813
2365399,2642,509,54232,879066
2368734,2766,144,54242,902031
2366804,2611,413,54477,872467
2369216,2529,346,54585,851523
2346348,2517,174,54567,846101
2435176,770,534,52282,238640
2435284,2880,475,54509,917458
2435175,770,537,52282,238643
2435655,2881,471,54502,917866
2434767,771,17,52370,238717
2345768,2761,333,54534,899658
2476766,2427,586,53815,819113
2435276,2880,228,54509,917262
2346317,2767,498,54243,902784
2435742,2881,410,54502,917824
2476615,2420,434,54086,816114
2476906,2431,409,53818,820635
2476597,2418,585,53794,815406
2476872,2429,374,53799,819733
2434759,771,49,52370,238735
2477565,2422,22,54096,816639
2477824,2422,176,54096,816743
2288769,2484,402,54144,829119
2346353,2519,463,54570,847237
2434897,771,258,52370,238876
2477977,2420,611,54086,816224
2289171,2511,439,53882,842846
2478615,2434,171,53826,821887
2476709,2425,504,54139,818254
2289822,2769,358,54527,903622
2311916,2646,547,54479,880986
2312201,2652,517,54508,883537
2351120,2589,498,54174,862208
2351420,2485,362,54176,829603
2352161,2593,535,54175,864152
2353461,2485,124,54176,829413
2404262,344,400,51693,39704
2397628,2608,95,54474,870786
2404747,345,196,51690,40006
2296935,2369,19,53733,811449
2397410,2502,258,54180,838044
2396676,2508,543,53875,841399
2397158,2482,20,54175,827782
2234840,2265,153,53674,785006
2209770,2267,271,53713,785807
2210357,2350,503,53765,803239
2237033,2274,547,53726,788957
2236010,2212,278,53789,767795
2210089,2293,538,53730,796257
2210706,2217,572,53794,770369
2237813,2355,461,53792,805766
2240592,2240,209,53823,781250
2210872,2225,411,53729,774135
2240834,2231,226,53816,777038
